code,uri,label,definition
AU RBU,NA,Roebourne,NA
AU RNB,NA,Rosslyn Bay,NA
AU RTS,NA,Rottnest Island,NA
AU ROZ,NA,Rozelle,NA
AU SMT,NA,Saladin Marine Terminal,NA
AU SGT,NA,Sandgate,NA
AU SCY,NA,Scoresby,NA
AU 5CI,NA,Selby,NA
AU SSH,NA,Sellicks Hill,NA
AU SMR,NA,Seventeen Mile Rocks/Brisbane,NA
AU SHB,NA,Shark Bay,NA
AU SOL,NA,Shea Oak Log,NA
AU SKA,NA,Skardon River,NA
AU SKV,NA,Skua Venture (oil terminal),NA
AU SKY,NA,Skye,NA
AU SBN,NA,South Brisbane,NA
AU STR,NA,South Trees,NA
AU SWR,NA,South West Rocks,NA
AU SPO,NA,Spreyton,NA
AU SPB,NA,Spring Bay,NA
AU STG,NA,Stag Platform,NA
AU STA,NA,Stanley,NA
AU SRN,NA,Strahan,NA
AU SUH,NA,Surry Hills,NA
AU SYD,NA,Sydney,NA
AU SYL,NA,Sylvania,NA
AU DGA,NA,Tea Gardens,NA
AU GUR,NA,The Gurdies,NA
AU THE,NA,Thevenard,NA
AU CTH,NA,Thevenard Island,NA
AU TIS,NA,Thursday Island,NA
AU TOL,NA,Toombul,NA
AU TRD,NA,Tooradin,NA
AU TOR,NA,Toronto,NA
AU LKU,NA,Torrensville,NA
AU TOB,NA,Towford Bay,NA
AU TSV,NA,Townsville,NA
AU TRB,NA,Trial Bay,NA
AU TRI,NA,Troughton Island,NA
AU THS,NA,Tweed Heads South,NA
AU DA5,NA,Twowells,NA
AU ULA,NA,Ulladulla,NA
AU ULT,NA,Ultimo,NA
AU UMB,NA,Umbakumba,NA
AU URN,NA,Urangan,NA
AU USL,NA,Useless Loop,NA
AU VGH,NA,Van Gogh Terminal,NA
AU VAR,NA,Varanus Island,NA
AU WAL,NA,Wallaroo,NA
AU WNT,NA,Wandoo Terminal,NA
AU WSN,NA,Warners Bay,NA
AU WMB,NA,Warrnambool,NA
AU WAZ,NA,Warwick,NA
